STAT_AREA,AREA_NAME,AREA,SPECIES_STOCK
525,NE,525,NE
526,NE,526,NE
533,NE,533,NE
534,NE,534,NE
537,NE,537,NE
538,NE,538,NE
539,NE,539,NE
541,NE,541,NE
542,NE,542,NE
543,NE,543,NE
634,MA,634,MA
635,MA,635,MA
636,MA,636,MA
637,MA,637,MA
638,MA,638,MA
639,MA,639,MA
640,MA,640,MA
561,NE,561,NE
562,NE,562,NE
611,MA,611,MA
612,MA,612,MA
613,MA,613,MA
614,MA,614,MA
615,MA,615,MA
616,MA,616,MA
621,MA,621,MA
622,MA,622,MA
623,MA,623,MA
624,MA,624,MA
625,MA,625,MA
626,MA,626,MA
627,MA,627,MA
628,MA,628,MA
629,MA,629,MA
631,MA,631,MA
632,MA,632,MA
633,MA,633,MA
464,NE,464,NE
465,NE,465,NE
467,NE,467,NE
511,NE,511,NE
512,NE,512,NE
513,NE,513,NE
514,NE,514,NE
515,NE,515,NE
521,NE,521,NE
522,NE,522,NE
