"COMNAME","SPECIES_ITIS_EVAL","CCGOM","EGB","GB","GB_SNE","GBGOM","GBK","GOM","MA","NE","OTHER","SNE","SNEMA","WGB","WGB and South"
"FLOUNDER, YELLOWTAIL","172909",22800,NA,834,NA,NA,NA,NA,0,NA,NA,190,NA,NA,NA
"COD","164712",NA,5579,NA,NA,NA,NA,14032,21,NA,NA,85,NA,13845,NA
"HADDOCK","164744",NA,43085,NA,NA,NA,NA,150360,2,NA,NA,NA,NA,NA,554947
"FLOUNDER, WINTER / BLACKBACK","172905",NA,NA,1367,NA,NA,NA,3047,NA,NA,NA,NA,11524,NA,NA
"OCEAN POUT","630979",NA,NA,NA,92429,NA,NA,19890,NA,NA,NA,NA,NA,NA,NA
"FLOUNDER, SAND-DAB / WINDOWPANE / B","172746",NA,NA,NA,NA,68342,NA,NA,NA,NA,NA,NA,54047,NA,NA
"FLOUNDER, WITCH / GRAY SOLE","172873",NA,NA,NA,NA,92235,NA,NA,NA,NA,794,NA,NA,NA,NA
"WOLFFISH / OCEAN CATFISH","171341",NA,NA,NA,NA,NA,235,85117,0,NA,NA,NA,NA,NA,NA
"FLOUNDER, AMERICAN PLAICE /DAB","172877",NA,NA,NA,NA,NA,44901,108088,0,NA,NA,811,NA,NA,NA
"POLLOCK","164727",NA,NA,NA,NA,NA,NA,NA,0,194225,NA,NA,NA,NA,NA
"HAKE, WHITE","164732",NA,NA,NA,NA,NA,NA,NA,20,26492,NA,NA,NA,NA,NA
"REDFISH / OCEAN PERCH","166774",NA,NA,NA,NA,NA,NA,NA,0,120402,NA,NA,NA,NA,NA
"HALIBUT, ATLANTIC","172933",NA,NA,NA,NA,NA,NA,NA,0,163486,NA,NA,NA,NA,NA
