"SPECIES_ITIS_EVAL","CCGOM","EGB","GB","GB_SNE","GBGOM","GBK","GOM","MA","NE","OTHER","SNE","SNEMA","WGB","WGB and South"
"172909",28790,NA,523,NA,NA,NA,NA,0,NA,NA,318,NA,NA,NA
"164712",NA,2220,NA,NA,NA,NA,23738,10,NA,NA,188,NA,8914,NA
"164744",NA,38916,NA,NA,NA,NA,163078,2,NA,NA,NA,NA,NA,310451
"172905",NA,NA,1458,NA,NA,NA,3016,NA,NA,NA,NA,6125,NA,NA
"630979",NA,NA,NA,84924,NA,NA,12841,NA,NA,NA,NA,NA,NA,NA
"172746",NA,NA,NA,NA,48319,NA,NA,NA,NA,NA,NA,62249,NA,NA
"172873",NA,NA,NA,NA,71063,NA,NA,NA,NA,401,NA,NA,NA,NA
"171341",NA,NA,NA,NA,NA,3,5773,0,NA,NA,NA,NA,NA,NA
"172877",NA,NA,NA,NA,NA,32527,75246,2,NA,NA,21,NA,NA,NA
"164727",NA,NA,NA,NA,NA,NA,NA,0,119025,NA,NA,NA,NA,NA
"164732",NA,NA,NA,NA,NA,NA,NA,2,30627,NA,NA,NA,NA,NA
"166774",NA,NA,NA,NA,NA,NA,NA,2,83859,NA,NA,NA,NA,NA
"172933",NA,NA,NA,NA,NA,NA,NA,1,113460,NA,NA,NA,NA,NA
