Species,Method,Source,Year,Discards,kall
Clearnose skate,CAMS,State,2019,5324166,322296448
Clearnose skate,CAMS,Federal,2019,2787720,1712184481
Little skate,CAMS,State,2019,426613,322296448
Little skate,CAMS,Federal,2019,15961190,1712184481
Rosette skate,CAMS,State,2019,1483,322296448
Rosette skate,CAMS,Federal,2019,66856,1712184481
Barndoor skate,CAMS,State,2019,1207579,322296448
Barndoor skate,CAMS,Federal,2019,5113791,1712184481
Winter skate,CAMS,State,2019,179501,322296448
Winter skate,CAMS,Federal,2019,5835263,1712184481
Thorny skate,CAMS,State,2019,387864,322296448
Thorny skate,CAMS,Federal,2019,533704,1712184481
Smooth skate,CAMS,State,2019,171120,322296448
Smooth skate,CAMS,Federal,2019,1363816,1712184481
Skate complex,QM,Federal,2019,13144115,3176452.306
Skate complex,CAMS,Federal,2019,31662340,1712184481
