ABC,SPECIES/GROUP,COMPOSITION,TAXON,SA species (Y/N),National Bycatch species
18,ATLANTIC SALMON,Individual,Salmo salar,,Y
2,AFRICAN POMPANO,Individual,Alectis ciliaris,,Y
3,ALEWIFE,Individual,Alosa pseudoharengus,Y,Y
4,"AMBERJACK, UNC",Unclassified Amberjack Species,Seriola,,Y
5,AMERICAN EEL,Individual,Anguilla rostrata,,Y
6,AMERICAN LOBSTER,Individual,Homarus americanus,Y,Y
8,AMERICAN SHAD,Individual,Alosa sapidissima,Y,Y
9,ATLANTIC ANGEL SHARK,Individual,Squatina dumeril,,Y
10,ATLANTIC BONITO,Individual,Sarda sarda,,Y
12,ATLANTIC CROAKER,Individual,Micropogonias undulatus,,Y
13,ATLANTIC HAGFISH,Individual,Myxine glutinosa,Y,Y
17,ATLANTIC MOONFISH,Individual,Selene setapinnis ,,Y
19,ATLANTIC SHARPNOSE SHARK,Individual,Rhizoprionodon terraenovae,,Y
20,ATLANTIC SHEEPSHEAD,Individual,Archosargus probatocephalus,,Y
21,ATLANTIC STURGEON,Individual,Acipenser oxyrinchus,,Y
23,BASKING SHARK,Individual,Cetorhinus maximus,,Y
24,"BENTHIC SPECIES, OTHER","ANEMONE, UNC",Anthozoa,,Y
25,"BENTHIC SPECIES, OTHER","BRITTLE STARFISH, UNC",Ophiuroidea ,,Y
26,"BENTHIC SPECIES, OTHER",EELGRASS,Zostera marina,,Y
27,"BENTHIC SPECIES, OTHER","LAMPREY, UNC",Petromyzontidae,,Y
28,"BENTHIC SPECIES, OTHER","MANTIS SHRIMP, UNC",Stomatopoda ,,Y
29,"BENTHIC SPECIES, OTHER","MOLLUSK, UNC",Mollusca,,Y
30,"BENTHIC SPECIES, OTHER","ROCKWEED, UNC",Fucus ,,Y
31,"BENTHIC SPECIES, OTHER",SAND DOLLAR,Echinarachnius parma,,Y
32,"BENTHIC SPECIES, OTHER","SEA CUCUMBER, UNC",Holothuroidea,,Y
33,"BENTHIC SPECIES, OTHER",SEA PANSY,Renilla reniformis,,Y
34,"BENTHIC SPECIES, OTHER","SEA PEN, UNC",Pennatulacea,,Y
35,"BENTHIC SPECIES, OTHER",SEA POTATO,Leathesia difformis,,Y
36,"BENTHIC SPECIES, OTHER","SEA SQUIRT, UNC",Ascidiacea ,,Y
37,"BENTHIC SPECIES, OTHER","SEA STARFISH, UNC",Asteroidea,,Y
38,"BENTHIC SPECIES, OTHER","SEA URCHIN, UNC",Strongylocentrotus,,Y
39,"BENTHIC SPECIES, OTHER","SEAWEED, UNC",Phaeophyta,,Y
