"NESPP3","STOCK_ID","COMNAME","DMIS_DISCARD"
"082","CODGBE","COD",6383
"124","PLAGMMA","FLOUNDER, AMERICAN PLAICE /DAB",109023
"123","YELCCGM","FLOUNDER, YELLOWTAIL",32835
"082","UNKNOWN_COD","COD",NA
"148","HADGBW","HADDOCK",384367
"122","WITGMMA","FLOUNDER, WITCH / GRAY SOLE",83644
"125","FLDSNEMA","FLOUNDER, SAND-DAB / WINDOWPANE / B",71974
"120","FLWGMSS","FLOUNDER, WINTER / BLACKBACK",3810
"082","CODGMSS","COD",29973
"159","HALGMMA","HALIBUT, ATLANTIC",103889
"123","UNKNOWN_FLYT","FLOUNDER, YELLOWTAIL",NA
"123","YELGB","FLOUNDER, YELLOWTAIL",304
"125","FLGMGBSS","FLOUNDER, SAND-DAB / WINDOWPANE / B",48082
"154","HKWGMMA","HAKE, WHITE",21184
"240","REDGMGBSS","REDFISH / OCEAN PERCH",91553
"125","UNKNOWN_FLSD","FLOUNDER, SAND-DAB / WINDOWPANE / B",NA
"120","FLWGB","FLOUNDER, WINTER / BLACKBACK",1974
"270","POKGMASS","POLLOCK",162629
"148","HADGM","HADDOCK",202985
"250","OPTGMMA","OCEAN POUT",41017
"512","WOLGMMA","WOLFFISH / OCEAN CATFISH",5352
"120","FLWSNEMA","FLOUNDER, WINTER / BLACKBACK",5789
"148","HADGBE","HADDOCK",107176
"120","UNKNOWN_FLBB","FLOUNDER, WINTER / BLACKBACK",NA
"082","CODGBW","COD",11052
"123","YELSNE","FLOUNDER, YELLOWTAIL",500
"148","UNKNOWN_HADD","HADDOCK",NA
