"COMNAME","SPECIES_ITIS_EVAL","CCGOM","EGB","GB","GB_SNE","GBGOM","GBK","GOM","MA","NE","OTHER","SNE","SNEMA","WGB","WGB and South"
"FLOUNDER, YELLOWTAIL","172909",39696,NA,2142,NA,NA,NA,NA,0,NA,NA,475,NA,NA,NA
"COD","164712",NA,7118,NA,NA,NA,NA,39706,22,NA,NA,147,NA,23795,NA
"HADDOCK","164744",NA,101530,NA,NA,NA,NA,387419,12,NA,NA,NA,NA,NA,769840
"FLOUNDER, WINTER / BLACKBACK","172905",NA,NA,2327,NA,NA,NA,4651,NA,NA,NA,NA,20244,NA,NA
"OCEAN POUT","630979",NA,NA,NA,118730,NA,NA,34245,NA,NA,NA,NA,NA,NA,NA
"FLOUNDER, SAND-DAB / WINDOWPANE / B","172746",NA,NA,NA,NA,112579,NA,NA,NA,NA,NA,NA,110779,NA,NA
"FLOUNDER, WITCH / GRAY SOLE","172873",NA,NA,NA,NA,224476,NA,NA,NA,NA,1938,NA,NA,NA,NA
"WOLFFISH / OCEAN CATFISH","171341",NA,NA,NA,NA,NA,380,131522,0,NA,NA,NA,NA,NA,NA
"FLOUNDER, AMERICAN PLAICE /DAB","172877",NA,NA,NA,NA,NA,62396,196641,1,NA,NA,1336,NA,NA,NA
"POLLOCK","164727",NA,NA,NA,NA,NA,NA,NA,0,339267,NA,NA,NA,NA,NA
"HAKE, WHITE","164732",NA,NA,NA,NA,NA,NA,NA,35,44107,NA,NA,NA,NA,NA
"REDFISH / OCEAN PERCH","166774",NA,NA,NA,NA,NA,NA,NA,0,218871,NA,NA,NA,NA,NA
"HALIBUT, ATLANTIC","172933",NA,NA,NA,NA,NA,NA,NA,0,258369,NA,NA,NA,NA,NA
