"SPECIES_ITIS","COMMON_NAME","NESPP3","RUN_ID"
"166774","REDFISH / OCEAN PERCH","240","GROUNDFISH"
"172877","FLOUNDER, AMERICAN PLAICE /DAB","124","GROUNDFISH"
"164712","COD","081","GROUNDFISH"
"164732","HAKE, WHITE","153","GROUNDFISH"
"171341","WOLFFISH / OCEAN CATFISH","512","GROUNDFISH"
"164727","POLLOCK","269","GROUNDFISH"
"172873","FLOUNDER, WITCH / GRAY SOLE","122","GROUNDFISH"
"172909","FLOUNDER, YELLOWTAIL","123","GROUNDFISH"
"172933","HALIBUT, ATLANTIC","159","GROUNDFISH"
"172746","FLOUNDER, SAND-DAB / WINDOWPANE / B","125","GROUNDFISH"
"172905","FLOUNDER, WINTER / BLACKBACK","120","GROUNDFISH"
"630979","OCEAN POUT","250","GROUNDFISH"
"164744","HADDOCK","147","GROUNDFISH"
"080944","CLAM, SURF","769","CALENDAR"
"081343","QUAHOG, OCEAN (BLACK CLAM)","754","CALENDAR"
"082372","SQUID, ATL LONG-FIN","801","CALENDAR"
"082521","SQUID, SHORT-FIN","802","CALENDAR"
"097314","AMERICAN LOBSTER","727","CALENDAR"
"098678","JONAH CRAB","711","CALENDAR"
"160230","DOGFISH, SMOOTH","351","CALENDAR"
"161706","ALEWIFE","001","CALENDAR"
"164740","CUSK","096","CALENDAR"
"167687","BLACK SEA BASS","335","CALENDAR"
"168559","BLUEFISH","023","CALENDAR"
"169182","SCUP","329","CALENDAR"
"172413","CHUB MACKEREL","215","CALENDAR"
"172414","MACKEREL, ATLANTIC","212","CALENDAR"
"172567","BUTTERFISH","051","CALENDAR"
"172735","FLUKE","121","CALENDAR"
"160617","DOGFISH, SPINY","352","MAY"
"160855","SKATE, CLEARNOSE","372","MAY"
"164499","MONKFISH","012","MAY"
"164730","RED HAKE","152","MAY"
"164791","SILVER HAKE","509","MAY"
"164793","OFFSHORE HAKE","508","MAY"
"564130","SKATE, LITTLE","366","MAY"
"564136","SKATE, ROSETTE","364","MAY"
"564139","SKATE, BARNDOOR","368","MAY"
"564145","SKATE, WINTER","367","MAY"
"564149","SKATE, THORNY","370","MAY"
"564151","SKATE, SMOOTH","369","MAY"
"168543","TILEFISH, BLUELINE","444","NOVEMBER"
"168546","TILEFISH, GOLDEN","446","NOVEMBER"
