"COMMON_NAME","SPECIES_ITIS","NESPP3","STAT_AREA","AREA_TYPE","AREA_NAME","listed"
"MONKFISH","164499","012",460,"stock","NORTHERN",1
"ALEWIFE","161706","001",464,"stock","UNIT",1
"AM SHAD","161702","347",464,"stock","UNIT",1
"BLACK SEA BASS","167687","335",464,"stock","UNIT",1
"BLUEFISH","168559","023",464,"stock","UNIT",1
"BUTTERFISH","172567","051",464,"stock","UNIT",1
"CHUB MACKEREL","172413","215",464,"stock","UNIT",1
"CLAM, SURF","080944","769",464,"stock","UNIT",1
"COD","164712","081",464,"stock","GOM",1
"DOGFISH, SPINY","160617","352",464,"stock","UNIT",1
"FLUKE","172735","121",464,"stock","UNIT",1
"HADDOCK","164744","147",464,"stock","GOM",1
"HAKE, WHITE","164732","153",464,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",464,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",464,"stock","UNIT",1
"MONKFISH","164499","012",464,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,464,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",464,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",464,"stock","UNIT",1
"RED CRAB","620992","710",464,"stock","UNIT",1
"REDFISH","166774","240",464,"stock","UNIT",1
"SCALLOP, SEA","079718","800",464,"stock","UNIT",1
"SCUP","169182","329",464,"stock","UNIT",1
"SKATE, BARNDOOR","564139","368",464,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",464,"stock","UNIT",1
"SKATE, LITTLE","564130","366",464,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",464,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",464,"stock","UNIT",1
"SKATE, THORNY","564149","370",464,"stock","UNIT",1
"SKATE, WINTER","564145","367",464,"stock","UNIT",1
"SQUID, ATL LONG-FIN","082372","801",464,"stock","UNIT",1
"SQUID, SHORT-FIN","082521","802",464,"stock","UNIT",1
"TILEFISH, BLUELINE","168543","444",464,"stock","NORTHERN COMPONENT",1
"TILEFISH, GOLDEN","168546","446",464,"stock","UNIT",1
"WINDOWPANE","172746","125",464,"stock","GBGOM",1
"WINTER FLD","172905","120",464,"stock","GOM",1
"WITCH FLD","172873","122",464,"stock","UNIT",1
"YELLOWTAIL FLD","172909","123",464,"stock","CCGOM",1
"ALEWIFE","161706","001",465,"stock","UNIT",1
"AM SHAD","161702","347",465,"stock","UNIT",1
"BLACK SEA BASS","167687","335",465,"stock","UNIT",1
"BLUEFISH","168559","023",465,"stock","UNIT",1
"BUTTERFISH","172567","051",465,"stock","UNIT",1
"CHUB MACKEREL","172413","215",465,"stock","UNIT",1
"CLAM, SURF","080944","769",465,"stock","UNIT",1
"COD","164712","081",465,"stock","GOM",1
"DOGFISH, SPINY","160617","352",465,"stock","UNIT",1
"FLUKE","172735","121",465,"stock","UNIT",1
"HADDOCK","164744","147",465,"stock","GOM",1
"HAKE, WHITE","164732","153",465,"stock","UNIT",1
"HALIBUT","172933","159",465,"stock","UNIT",1
"HERRING, ATLANTIC","161722","168",465,"stock","UNIT",1
"MACKEREL, ATLANTIC","172414","212",465,"stock","UNIT",1
"MONKFISH","164499","012",465,"stock","NORTHERN",1
"NBR spp (300+)",NA,NA,465,"stock","UNIT",1
"QUAHOG, HARD SHELL CLAM","081496","748",465,"stock","UNIT",1
"QUAHOG, OCEAN (BLACK CLAM)","081343","754",465,"stock","UNIT",1
"RED CRAB","620992","710",465,"stock","UNIT",1
"REDFISH","166774","240",465,"stock","UNIT",1
"SCALLOP, SEA","079718","800",465,"stock","UNIT",1
"SCUP","169182","329",465,"stock","UNIT",1
"SKATE, BARNDOOR","564139","368",465,"stock","UNIT",1
"SKATE, CLEARNOSE","160855","372",465,"stock","UNIT",1
"SKATE, LITTLE","564130","366",465,"stock","UNIT",1
"SKATE, ROSETTE","564136","364",465,"stock","UNIT",1
"SKATE, SMOOTH","564151","369",465,"stock","UNIT",1
