SPECIES_ITIS,AREA_NAME,COMMON_NAME,CAMS_GEAR_GROUP,Discard_Mortality_Ratio
161706,MA,ALEWIFE,10,1
161706,NE,ALEWIFE,10,1
161706,MA,ALEWIFE,20,1
161706,NE,ALEWIFE,20,1
161706,MA,ALEWIFE,50,1
161706,NE,ALEWIFE,50,1
161706,MA,ALEWIFE,52,1
161706,NE,ALEWIFE,52,1
161706,MA,ALEWIFE,53,1
161706,NE,ALEWIFE,53,1
161706,MA,ALEWIFE,54,1
161706,NE,ALEWIFE,54,1
161706,MA,ALEWIFE,57,1
161706,NE,ALEWIFE,57,1
161706,MA,ALEWIFE,58,1
161706,NE,ALEWIFE,58,1
161706,MA,ALEWIFE,59,1
161706,NE,ALEWIFE,59,1
161706,MA,ALEWIFE,80,1
161706,NE,ALEWIFE,80,1
161706,MA,ALEWIFE,100,1
161706,NE,ALEWIFE,100,1
161706,MA,ALEWIFE,121,1
161706,NE,ALEWIFE,121,1
161706,MA,ALEWIFE,132,1
161706,NE,ALEWIFE,132,1
161706,MA,ALEWIFE,160,1
161706,NE,ALEWIFE,160,1
161706,MA,ALEWIFE,170,1
161706,NE,ALEWIFE,170,1
161706,MA,ALEWIFE,180,1
161706,NE,ALEWIFE,180,1
161706,MA,ALEWIFE,181,1
161706,NE,ALEWIFE,181,1
161706,MA,ALEWIFE,183,1
161706,NE,ALEWIFE,183,1
161706,MA,ALEWIFE,200,1
161706,NE,ALEWIFE,200,1
161706,MA,ALEWIFE,300,1
161706,NE,ALEWIFE,300,1
161706,MA,ALEWIFE,350,1
161706,NE,ALEWIFE,350,1
161706,MA,ALEWIFE,381,1
161706,NE,ALEWIFE,381,1
161706,MA,ALEWIFE,387,1
161706,NE,ALEWIFE,387,1
161706,MA,ALEWIFE,400,1
161706,NE,ALEWIFE,400,1
161702,MA,AM SHAD,10,1
161702,NE,AM SHAD,10,1
161702,MA,AM SHAD,20,1
161702,NE,AM SHAD,20,1
161702,MA,AM SHAD,50,1
161702,NE,AM SHAD,50,1
161702,MA,AM SHAD,52,1
161702,NE,AM SHAD,52,1
161702,MA,AM SHAD,53,1
161702,NE,AM SHAD,53,1
161702,MA,AM SHAD,54,1
161702,NE,AM SHAD,54,1
161702,MA,AM SHAD,57,1
161702,NE,AM SHAD,57,1
161702,MA,AM SHAD,58,1
161702,NE,AM SHAD,58,1
161702,MA,AM SHAD,59,1
161702,NE,AM SHAD,59,1
161702,MA,AM SHAD,80,1
161702,NE,AM SHAD,80,1
161702,MA,AM SHAD,100,1
161702,NE,AM SHAD,100,1
161702,MA,AM SHAD,121,1
161702,NE,AM SHAD,121,1
161702,MA,AM SHAD,132,1
161702,NE,AM SHAD,132,1
161702,MA,AM SHAD,160,1
161702,NE,AM SHAD,160,1
161702,MA,AM SHAD,170,1
161702,NE,AM SHAD,170,1
161702,MA,AM SHAD,180,1
161702,NE,AM SHAD,180,1
161702,MA,AM SHAD,181,1
161702,NE,AM SHAD,181,1
161702,MA,AM SHAD,183,1
161702,NE,AM SHAD,183,1
161702,MA,AM SHAD,200,1
161702,NE,AM SHAD,200,1
161702,MA,AM SHAD,300,1
161702,NE,AM SHAD,300,1
161702,MA,AM SHAD,350,1
161702,NE,AM SHAD,350,1
161702,MA,AM SHAD,381,1
161702,NE,AM SHAD,381,1
161702,MA,AM SHAD,387,1
161702,NE,AM SHAD,387,1
161702,MA,AM SHAD,400,1
161702,NE,AM SHAD,400,1
172877,GBK,AMERICAN PLAICE,10,1
172877,GOM,AMERICAN PLAICE,10,1
172877,MA,AMERICAN PLAICE,10,1
172877,SNE,AMERICAN PLAICE,10,1
172877,GBK,AMERICAN PLAICE,50,1
172877,GOM,AMERICAN PLAICE,50,1
172877,MA,AMERICAN PLAICE,50,1
172877,SNE,AMERICAN PLAICE,50,1
172877,GBK,AMERICAN PLAICE,58,1
172877,GOM,AMERICAN PLAICE,58,1
172877,MA,AMERICAN PLAICE,58,1
172877,SNE,AMERICAN PLAICE,58,1
172877,GBK,AMERICAN PLAICE,100,1
172877,GOM,AMERICAN PLAICE,100,1
172877,MA,AMERICAN PLAICE,100,1
172877,SNE,AMERICAN PLAICE,100,1
172877,GBK,AMERICAN PLAICE,132,1
172877,GOM,AMERICAN PLAICE,132,1
172877,MA,AMERICAN PLAICE,132,1
172877,SNE,AMERICAN PLAICE,132,1
167687,NORTH,BLACK SEA BASS,50,1
167687,S_700s,BLACK SEA BASS,50,1
167687,SOUTH,BLACK SEA BASS,50,1
167687,NORTH,BLACK SEA BASS,100,1
167687,S_700s,BLACK SEA BASS,100,1
167687,SOUTH,BLACK SEA BASS,100,1
168559,MA,BLUEFISH,10,1
168559,NE,BLUEFISH,10,1
168559,MA,BLUEFISH,20,1
168559,NE,BLUEFISH,20,1
168559,MA,BLUEFISH,50,1
168559,NE,BLUEFISH,50,1
168559,MA,BLUEFISH,52,1
168559,NE,BLUEFISH,52,1
168559,MA,BLUEFISH,53,1
168559,NE,BLUEFISH,53,1
168559,MA,BLUEFISH,54,1
168559,NE,BLUEFISH,54,1
168559,MA,BLUEFISH,57,1
168559,NE,BLUEFISH,57,1
168559,MA,BLUEFISH,58,1
168559,NE,BLUEFISH,58,1
